"word","freq"
"가계",6
"가공",2
"가능성",1670
"가래",300
"가래검사",1
"가래약",4
"가래제거",1
"가래톳",2
"가려움",76
"가로",3
"가루",15
"가루약",6
"가면",1
"가사",19
"가상",2
"가성",58
"가성동맥류",2
"가성치매",1
"가스",93
"가슴",1228
"가슴샘종",1
"가슴성형",1
"가슴앓이",2
"가슴통증",107
"가시",17
"가와사키병",5
"가위",46
"가장자리",2
"가정",124
"가정간호",72
"가정의학",241
"가족",315
"가족력",154
"가중",3
"가짜",9
"가쪽",10
"가치",15
"가피",11
"각공막",1
"각막",6
"각막염",3
"각성",3
"각질",9
"간검사",1
"간경화",70
"간내결석",2
"간담도",5
"간대",1
"간병",42
"간섭",44
"간성",4
"간성혼수",20
"간세포",1
"간세포암종",2
"간신",4
"간암",61
"간열상",1
"간염",183
"간이식",82
"간절제",1
"간접흡연",7
"간질",28
"간질발작",1
"간질성",9
"간질성폐질환",3
"간질약",6
"간질질환",1
"간질환",17
"간파열",1
"간헐",49
"간헐외사시",1
"간호",38
"간호사",66
"간흡충",2
"갈고리",1
"갈비",14
"갈비뼈",60
"갈증",29
"감각",377
"감각마비",1
"감각이상",29
"감각저하",56
"감금",16
"감기",813
"감독",4
"감량",352
"감마",14
"감마나이프",67
"감별",198
"감별진단",3
"감사",17
"감소",1989
"감속",1
"감수성",15
"감시",269
"감시장치",2
"감압술",16
"감염",234
"감염력",1
"감염성",5
"감작",3
"감정",164
"갑상샘",2
"갑상샘염",1
"갑상선",300
"갑상선저하증",8
"갑상선종",1
"갑상연골",1
"강간",34
"강도",97
"강력",9
"강박",15
"강박관념",2
"강박사고",8
"강박장애",5
"강박행동",2
"강연",1
"강제",51
"강제입원",4
"강직",107
"강직성",20
"강하제",4
"강화",5
"개념",8
"개두",1
"개미",2
"개발",9
"개방",4
"개방골절",6
"개방교합",1
"개복",32
"개복술",27
"개선",38
"개원",5
"개인",18
"개인력",1
"개인위생",5
"개입",19
"개조",3
"개편",3
"개흉",3
"개흉수술",1
"객담검사",5
"객혈",187
"갱년기",22
"거골",4
"거골하",1
"거담제",3
"거대",13
"거대결장",1
"거대적혈모구빈혈",1
"거리",332
"거미",2
"거미줄",1
"거부",879
"거부반응",4
"거상",2
"거울",33
"거인",1
"거절",100
"거주자",1
"거주지",7
"거즈",8
"거짓",6
"거짓말",49
"거푸집",2
"거품",99
"건강",474
"건강관리",1
"건강염려증",1
"건강증진",1
"건강진단",2
"건성",1
"건염",1
"건조",16
"건조증",8
"건초",1
"건초염",3
"걸음거리",1
"걸이",8
"검사",5079
"검색",16
"검시",2
"검정",1
"검체",25
"검출",33
"검토",2
"게실",8
"게실염",14
"겨드랑",4
"겨드랑이",78
"격리",61
"격리실",8
"견갑",1
"견갑골",9
"견갑부",1
"견관절",38
"견인",5
"견치",1
"결과",3982
"결막",10
"결막염",23
"결막충혈",9
"결석",91
"결석제거",1
"결손",47
"결여",4
"결장",5
"결장간막",1
"결장암",4
